ingredient,safety,description,rating
parabens,harmful,"Preservatives used to extend shelf life, but may disrupt hormonal function.",1
fragrance,caution,"Added for scent but can cause irritation and allergic reactions in some people.",3
sodium lauryl sulfate,harmful,"Surfactant and cleanser, but can cause skin dryness and irritation.",2
glycerin,safe,"A humectant that draws moisture to the skin, keeping it hydrated and smooth.",5
aloe vera,safe,"A soothing ingredient known for its calming and anti-inflammatory properties.",5
alcohol,caution,"Used as a solvent; can dry out and irritate the skin in high concentrations.",3
niacinamide,safe,"A form of Vitamin B3 that helps reduce inflammation, even skin tone, and improve texture.",5
phenoxyethanol,caution,"A preservative that can cause skin irritation in sensitive individuals.",3
retinol,safe,"A form of Vitamin A, often used to reduce wrinkles and acne by speeding up skin cell turnover.",4
formaldehyde,harmful,"A preservative that can cause skin irritation, allergic reactions, and is a carcinogen.",1
vitamin C,safe,"An antioxidant that brightens the skin, reduces fine lines, and fights free radicals.",5
hyaluronic acid,safe,"A powerful humectant that retains moisture in the skin, keeping it plump and hydrated.",5
salicylic acid,safe,"A Beta Hydroxy Acid (BHA) used to exfoliate skin and treat acne.",5
tea tree oil,safe,"An essential oil known for its antimicrobial and anti-inflammatory properties.",5
citric acid,safe,"A natural exfoliant derived from citrus fruits, used to brighten and smooth skin.",5
sodium chloride,caution,"Common salt that can dry out the skin in high concentrations.",3
dimethicone,safe,"A silicone that creates a smooth layer on the skin, preventing moisture loss and giving a silky feel.",5
hydroquinone,harmful,"A skin lightening agent that can cause irritation and sensitivity in some individuals.",1
shea butter,safe,"A rich moisturizer that helps to soften and hydrate the skin.",5
coconut oil,safe,"A natural oil that moisturizes and has antimicrobial properties.",5
zinc oxide,safe,"A physical sunscreen ingredient that protects the skin from UV damage.",5
titanium dioxide,safe,"A mineral sunscreen ingredient that protects against UVA and UVB rays.",5
benzoyl peroxide,harmful,"Used to treat acne but can cause dryness, irritation, and sensitivity to the skin.",2
retinoid,safe,"A derivative of Vitamin A that helps reduce acne and signs of aging.",5
lanolin,caution,"Derived from sheep wool, used as an emollient, but can cause allergic reactions in some individuals.",3
cetearyl alcohol,safe,"A fatty alcohol that acts as an emollient, emulsifier, and thickener.",3
butylene glycol,caution,"A humectant that can be irritating to sensitive skin types.",3
phytosphingosine,safe,"A lipid molecule that helps repair the skin barrier and reduce inflammation.",5
peptides,safe,"Short chains of amino acids that stimulate collagen production and improve skin elasticity.",5
ceramides,safe,"Lipids that help restore the skin barrier and lock in moisture.",5
tretinoin,safe,"A prescription form of Vitamin A, commonly used for acne and anti-aging purposes.",5
glycolic acid,safe,"An Alpha Hydroxy Acid (AHA) used to exfoliate and brighten the skin.",5
octinoxate,harmful,"A chemical sunscreen agent that can cause skin irritation and disrupt hormonal function.",2
menthol,safe,"A cooling agent derived from mint, used to soothe and refresh the skin.",5
lavender oil,safe,"An essential oil known for its calming and antimicrobial properties.",5
rose water,safe,"A soothing ingredient that hydrates, balances, and refreshes the skin.",5
cucumber extract,safe,"A cooling and hydrating extract that helps calm and refresh the skin.",5
pomegranate extract,safe,"An antioxidant-rich extract that helps fight free radicals and promote healthy skin.",5
green tea extract,safe,"A potent antioxidant that helps reduce redness and protects against sun damage.",5
Aqua,Safe,"Aqua is simply water used as a solvent to dissolve other ingredients and provide hydration. It is the most common base in cosmetic and skincare products.",5
Butyl Methoxydibenzoylmethane,Moderate,"Also known as Avobenzone, it is a chemical sunscreen agent that absorbs the full spectrum of UVA rays. While effective, it can degrade in sunlight unless stabilized and may cause irritation in sensitive skin.",3
Acetyl Hexapeptide-8,Safe,"A peptide that helps reduce the appearance of fine lines and wrinkles by relaxing facial muscles.",5
Allantoin,Safe,"A compound that soothes and protects the skin, promoting healing and reducing irritation.",5
Alpha-Arbutin,Safe,"A skin-brightening agent that helps reduce hyperpigmentation and even out skin tone.",5
Argan Oil,Safe,"A natural oil rich in antioxidants and fatty acids, used to moisturize and nourish the skin.",5
Azelaic Acid,Safe,"A dicarboxylic acid that helps treat acne and rosacea by reducing inflammation and bacteria.",5
Bakuchiol,Safe,"A plant-based alternative to retinol that helps reduce signs of aging without irritation.",5
Beta-Glucan,Safe,"A polysaccharide that soothes and moisturizes the skin, enhancing its natural barrier.",5
Bisabolol,Safe,"A compound derived from chamomile that calms and soothes irritated skin.",5
Black Tea Ferment,Safe,"An antioxidant-rich ingredient that helps improve skin texture and radiance.",5
Blue Tansy Oil,Safe,"An essential oil known for its calming and anti-inflammatory properties.",5
Caffeine,Safe,"A stimulant that helps reduce puffiness and dark circles by constricting blood vessels.",5
Calendula Extract,Safe,"A plant extract with anti-inflammatory and healing properties, used to soothe skin.",5
Camellia Sinensis Leaf Extract,Safe,"Also known as green tea extract, it provides antioxidant and anti-inflammatory benefits.",5
Caprylic/Capric Triglyceride,Safe,"An emollient derived from coconut oil and glycerin, used to moisturize and replenish skin.",5
Carbomer,Safe,"A thickening agent used to stabilize and control the viscosity of cosmetic products.",5
Centella Asiatica Extract,Safe,"A plant extract that promotes collagen production and soothes irritated skin.",5
Ceramide NP,Safe,"A type of ceramide that helps restore the skin barrier and retain moisture.",5
Ceteareth-20,Caution,"An emulsifier that can be irritating to sensitive skin and may contain impurities.",3
Cetearyl Glucoside,Safe,"An emulsifier that helps blend oil and water components in skincare formulations.",5
